cz,czname,pop2000,fips,statename,stateabbrv,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,cs_educ_ba,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20
301,Middlesborough,66708.0,47,Tennessee,TN,17.74554,12756.419,0.7123566,0.18530320000000003,0.10093289999999999,0.11936660000000002,-2.703359,81.50719699999999,81.567128,49.508424,77.83579300000001,46.038986,199.63523999999998,0.024081099999999998,0.014683100000000001,0.0258143,0.0642501,0.33404,0.27066100000000004,0.10690999999999999,0.46685,-1.2702513,66.78059,1.4645920000000001,0.616118,0.06808310000000001,0.013614500000000002,0.1534896,0.4789630999999999,0.23353139999999997,0.7078036999999999,0.008050009,0.011602806299999999,65.57113000000001,0.35853579999999996,22328.48,82250.72537,5.6141190000000005,15.084937,-9.315062,9.077307000000001,39.04925,0.21100270000000002,0.0038975999999999998,1189.82,0.0153799,0.0
401,Winston-Salem,493180.0,37,North Carolina,NC,19.02583,9635.7908,0.5061439999999999,0.16706310000000002,0.1022146,0.12539560000000002,0.4681638,81.2134,88.512514,70.065463,82.00701,65.852653,68.49709,0.07186669999999999,0.061080600000000006,0.0806255,0.262388,0.34636,0.1080807,0.11917,0.49991,-0.01779596,48.79375,17.3531,5.798897,0.0507583,0.26698109999999997,0.31648119999999996,0.656087,0.21519850000000001,5.294819,0.022101463999999998,0.0186199765,246.7514,0.29181409999999997,38891.75,143681.8974,5.4626763,15.385280999999999,-2.2970349999999997,22.38948,36.96925,0.22047089999999997,0.010576700000000001,1891.45,0.0179048,1.0
500,Greensboro,1055133.0,37,North Carolina,NC,19.7013,8412.7218,0.7173082,0.1629981,0.1054583,0.13197509999999998,0.6465141,82.404289,88.444956,69.845352,82.275367,68.60512299999999,63.477594999999994,0.0676532,0.0575889,0.076798,0.220065,0.3413,0.11175460000000001,0.18228,0.5100899999999999,-0.51318038,43.3969,21.75593,4.060341,0.05678480000000001,0.2601868,0.29508759999999995,0.6659446,0.2613469,5.022334,0.0165078715,0.0153705741,238.5104,0.30493259999999994,36581.84,136818.2934,5.0077963,16.678007,-3.715993,19.9377,36.47725,0.2366055,0.012842300000000001,1932.4560000000001,0.0172547,1.0
601,North Wilkesboro,90016.0,37,North Carolina,NC,22.05963,9252.8978,0.0195327,0.1485884,0.0998839,0.12624200000000002,0.6132911,84.899579,89.746651,65.611199,85.726969,72.050149,89.78202900000001,0.0118961,0.008602,0.0124235,0.1140964,0.31958000000000003,0.12287239999999999,0.12645,0.56018,-0.19309309,56.138909999999996,3.1927659999999998,3.168325,0.06636239999999999,0.11155570000000001,0.1528378,0.6174350000000001,0.27537940000000005,2.742685,0.011975648799999999,0.011886775700000001,76.07104,0.28933559999999997,31544.06,119797.40699999999,5.2960907,16.177970000000002,6.698189,11.51671,38.3445,0.16520120000000002,0.008827799999999998,1661.026,0.0135954,1.0
602,Galax,64676.0,51,Virginia,VA,21.84721,9194.9876,1.508458,0.1759501,0.11833239999999999,0.13500810000000002,0.5164022,84.354618,87.837574,69.937441,82.45196899999999,68.155047,79.44675,0.0054097,0.0041657,0.0056613,0.1311975,0.26915,0.1420254,0.08706,0.60842,-0.80119036,43.0175,2.8959740000000003,3.1588220000000002,0.0727314,0.07865239999999998,0.13804249999999998,0.5936861999999999,0.32108369999999997,2.285245,0.0055352835999999996,0.005798132199999999,55.666140000000006,0.325102,30683.01,95959.00743,5.3766793,12.326298,4.899554,9.616783999999999,40.813,0.1668024,0.0047622,1208.094,0.0140347,0.0
700,Spartanburg,354533.0,45,South Carolina,SC,21.73069,9127.5718,0.688978,0.1631822,0.111126,0.1257871,0.2444411,83.744332,85.04044499999999,67.504115,80.690271,67.326621,74.03202900000001,0.0451206,0.0441604,0.0451741,0.1394965,0.34069,0.1257592,0.13061,0.5285,-1.0008878,59.60855,20.74983,2.516832,0.05848480000000001,0.23712139999999998,0.2851822,0.6295308000000001,0.294631,2.90639,0.0170280341,0.0155584953,181.2923,0.2989705,33416.75,116802.48199999999,5.4214951,15.939934,-1.0086950000000001,16.93127,36.406,0.24610300000000002,0.0102306,2498.805,0.0181788,0.0
800,Gastonia,413331.0,37,North Carolina,NC,19.45946,9649.2219,0.1897971,0.1611909,0.1011863,0.12093599999999999,0.4782335999999999,85.732599,86.215036,66.699827,84.877562,64.772486,67.12114100000001,0.0380789,0.0344144,0.041466199999999995,0.1336746,0.31426,0.1161881,0.1008,0.54393,-0.65939772,60.12372,13.777820000000002,2.889694,0.0788723,0.207998,0.21629229999999997,0.6476718000000001,0.3110813,2.861825,0.0169452569,0.015331538200000001,245.4821,0.28839770000000003,33582.14,118714.9002,5.2506508,16.369631,2.411811,13.546470000000001,35.43425,0.21391880000000002,0.0122904,1996.33,0.0149102,1.0
900,Charlotte,1423942.0,37,North Carolina,NC,18.69895,8973.7286,0.19784520000000003,0.1532993,0.1059961,0.1226606,0.7651110999999999,84.744641,88.00933,70.420231,84.231585,65.433716,56.381191,0.0983462,0.0784217,0.1196608,0.22331929999999997,0.36011,0.0964086,0.15613,0.47738,-0.48383137,49.59942,22.73302,4.943881,0.0494205,0.5408527,0.6134979,0.6960221999999999,0.1711353,6.525441000000001,0.034231029100000004,0.021167997,298.0251,0.2407802,41423.26,165916.779,5.673504,16.993595000000003,-2.2910619999999997,26.79425,35.835,0.21928850000000003,0.0098831,2700.772,0.019653900000000002,1.0
1001,Boone,77361.0,37,North Carolina,NC,20.4398,9237.569,-0.1908319,0.1346123,0.10375799999999999,0.1266037,-0.16518670000000002,82.439474,85.922111,64.830619,77.212661,66.390174,88.469217,0.030702499999999997,0.027606400000000003,0.03075,0.0764024,0.34435,0.1839939,0.14276,0.5301600000000001,0.01234278,48.84502,2.1858560000000002,1.53178,0.0482022,0.2932297,0.4376498,0.5886975,0.1098454,1.7843,0.0140510076,0.0165587311,90.16611,0.374886,25952.73,149256.6141,5.264092199999999,13.936001999999998,9.977794,23.10129,40.01675,0.1673808,0.0048312,1348.464,0.0223031,1.0
1002,Morganton,164760.0,37,North Carolina,NC,20.22225,8456.8706,1.154742,0.17691479999999998,0.12070719999999999,0.121202,0.11902080000000001,80.476425,87.04520699999999,67.00325699999999,77.80795400000001,63.700869,60.225891000000004,0.0123042,0.010698200000000001,0.0106045,0.1165366,0.27304,0.1178257,0.07776,0.60328,-0.23112977,56.877269999999996,4.7359800000000005,3.145788,0.0737259,0.202619,0.223848,0.6100568000000001,0.3548365,3.839197,0.013103908700000002,0.014985433400000001,111.1526,0.3149605,30725.51,109955.7652,4.9263511,15.707923000000001,5.55586,11.80307,37.55075,0.17853870000000002,0.007356699999999999,1825.9520000000002,0.014321200000000001,1.0
