gnd,year,age,dm1_pop,dm1_dead,irs_posinc_pop,irs_posinc_dead,irs_zeroinc_pop,irs_zeroinc_dead,irs_pop,irs_dead,cdc_dead,cdc_pop
F,2001,40,2684874,3156,2159694.0,2095.0,297882.0,805.0,2466326.0,2912.0,3537,2322098
F,2002,40,2677147,3106,2150936.0,2185.0,288192.0,762.0,2448778.0,2953.0,3448,2291233
F,2003,40,2658858,3116,2128153.0,2169.0,285352.0,804.0,2424402.0,2982.0,3476,2285662
F,2004,40,2633100,2983,2096748.0,1996.0,285326.0,850.0,2394192.0,2860.0,3375,2287941
F,2005,40,2512057,2861,1973816.0,1925.0,281372.0,843.0,2267101.0,2774.0,3157,2244129
F,2006,40,2434811,2690,1906816.0,1768.0,267285.0,831.0,2185806.0,2617.0,2953,2102820
F,2007,40,2411121,2665,1878282.0,1792.0,259863.0,804.0,2149780.0,2604.0,2900,2050266
F,2008,40,2432731,2548,1886711.0,1716.0,254384.0,782.0,2154092.0,2511.0,2795,2043855
F,2009,40,2492184,2632,1952872.0,1808.0,233622.0,771.0,2201293.0,2593.0,2858,2081313
F,2010,40,2579753,2647,2014978.0,1771.0,241476.0,842.0,2273425.0,2628.0,2712,2192025
F,2011,40,2515603,2479,1933130.0,1638.0,246763.0,819.0,2195437.0,2464.0,2821,2175750
F,2012,40,2398659,2377,1814652.0,1593.0,236729.0,767.0,2063078.0,2367.0,2654,2055091
F,2013,40,2326129,2333,1744118.0,1497.0,235946.0,803.0,1990562.0,2308.0,2596,1968259
F,2014,40,2340978,2443,1700703.0,1493.0,290926.0,924.0,1997174.0,2424.0,2530,1940627
F,2001,41,2696330,3485,2159896.0,2406.0,303995.0,843.0,2473105.0,3261.0,3731,2358452
F,2002,41,2681718,3461,2173288.0,2414.0,279990.0,838.0,2463414.0,3266.0,3847,2326545
F,2003,41,2674041,3370,2149536.0,2289.0,284937.0,924.0,2445825.0,3225.0,3768,2296230
F,2004,41,2655742,3291,2121309.0,2237.0,287184.0,934.0,2421420.0,3181.0,3575,2291770
F,2005,41,2630117,3187,2089375.0,2109.0,288885.0,976.0,2391332.0,3093.0,3600,2295371
F,2006,41,2509196,2942,1974621.0,1880.0,277083.0,1002.0,2264327.0,2887.0,3436,2252637
F,2007,41,2432121,2922,1908792.0,1922.0,262175.0,918.0,2183189.0,2859.0,3149,2111306
F,2008,41,2408456,2924,1881094.0,1881.0,252684.0,972.0,2147176.0,2874.0,3099,2058913
F,2009,41,2430183,2781,1904925.0,1883.0,232034.0,860.0,2151581.0,2749.0,3047,2052619
F,2010,41,2489552,2753,1945837.0,1880.0,235651.0,851.0,2198700.0,2742.0,2911,2067167
F,2011,41,2577106,2874,2003862.0,1877.0,249887.0,965.0,2270797.0,2858.0,2960,2197115
F,2012,41,2513124,2773,1935464.0,1792.0,244518.0,960.0,2192973.0,2757.0,3036,2177317
F,2013,41,2396282,2661,1808320.0,1732.0,241181.0,896.0,2060711.0,2641.0,2890,2056391
F,2014,41,2323796,2664,1690393.0,1664.0,291964.0,969.0,1988254.0,2641.0,2930,1977497
F,2001,42,2666132,3597,2142924.0,2444.0,295505.0,915.0,2447782.0,3366.0,3970,2276695
F,2002,42,2692845,3725,2173660.0,2584.0,285824.0,934.0,2469844.0,3530.0,4154,2360011
F,2003,42,2678257,3703,2170071.0,2562.0,278122.0,960.0,2460148.0,3537.0,4167,2326876
F,2004,42,2670671,3532,2141923.0,2309.0,287351.0,1089.0,2442600.0,3409.0,4037,2296066
F,2005,42,2652451,3597,2113555.0,2332.0,290901.0,1138.0,2418239.0,3488.0,4039,2291530
F,2006,42,2626930,3620,2089403.0,2360.0,285162.0,1156.0,2388239.0,3529.0,3957,2294736
F,2007,42,2506254,3178,1975663.0,2069.0,272707.0,1017.0,2261440.0,3110.0,3540,2251520
F,2008,42,2429199,3148,1910499.0,2065.0,255905.0,1013.0,2180330.0,3094.0,3433,2109888
F,2009,42,2405532,3106,1899523.0,2112.0,229965.0,959.0,2144302.0,3079.0,3302,2056603
F,2010,42,2427402,2967,1897347.0,1949.0,234415.0,987.0,2148832.0,2950.0,3107,2047451
F,2011,42,2486799,3031,1934463.0,1923.0,244213.0,1063.0,2195958.0,3001.0,3327,2088504
F,2012,42,2574232,3148,2005064.0,2048.0,248511.0,1054.0,2267939.0,3114.0,3295,2198171
F,2013,42,2510351,3061,1928112.0,2045.0,249409.0,982.0,2190216.0,3041.0,3337,2177715
F,2014,42,2393621,2912,1750280.0,1777.0,301581.0,1111.0,2058070.0,2890.0,3306,2064604
F,2001,43,2634214,3843,2117966.0,2628.0,292092.0,953.0,2419628.0,3589.0,4420,2281350
F,2002,43,2662535,4066,2155025.0,2836.0,278596.0,1022.0,2444416.0,3868.0,4571,2279943
F,2003,43,2689120,4079,2169336.0,2766.0,284991.0,1107.0,2466314.0,3887.0,4444,2363514
F,2004,43,2674554,4055,2160583.0,2712.0,282009.0,1185.0,2456611.0,3913.0,4497,2331007
F,2005,43,2667139,4048,2132460.0,2663.0,292463.0,1246.0,2439191.0,3926.0,4487,2301346
F,2006,43,2648854,3964,2112801.0,2559.0,287559.0,1289.0,2414751.0,3861.0,4400,2297856
F,2007,43,2623310,3775,2088967.0,2445.0,281609.0,1243.0,2384710.0,3704.0,4159,2301759
