st,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,Alabama,AL,82.22806,84.47480999999999,85.80814000000001,87.22443,75.37608,79.43052,82.26295999999999,84.49781,3419114,2803243,2520347,2119247,2862389,2728540,2481761,2005954
2,Alaska,AK,82.34895,83.71200999999999,85.58584,87.16877,76.63939,80.52438000000001,82.4451,85.57583000000001,287869,364928,439382,528988,339042,374547,484283,537646
4,Arizona,AZ,82.15131,84.14719000000001,85.78168000000001,87.43513,77.00763,80.47463,82.70045999999999,85.23003,3281760,3395651,3120125,3014634,3288830,3113884,2943030,2875894
5,Arkansas,AR,81.31076999999999,84.12365,85.63734000000001,87.60146,75.7637,79.60691,82.11506999999999,84.15845,2070245,1804408,1490854,1025154,1882283,1762111,1408915,949898
6,California,CA,82.94646,83.53072,84.96513,86.93984,78.73161999999999,80.36487,82.36922,85.16174000000001,20215088,18383557,18250582,23014857,20578421,17762051,17285647,22682795
8,Colorado,CO,82.38781999999999,84.83904,86.47332,88.55565,77.59934,81.44842,84.00169,86.63642,2259475,2756610,3056413,3490654,2328427,2657580,2974157,3396603
9,Connecticut,CT,82.56622,84.57511,86.28475999999999,88.11147,77.37821,80.64699,83.2354,86.01406999999999,1434310,1913025,2419573,3500466,1368737,1743518,2275935,3358897
10,Delaware,DE,81.68574,84.00578,85.88902,87.71779000000001,75.66727,79.99835,82.78882,85.23469,449706,546751,579557,608615,404807,482162,544101,576733
11,District Of Columbia,DC,81.95926999999999,84.54845,85.87092,88.30034,76.54684,79.80736,82.68696,86.92712,334980,319991,249932,338132,362550,257422,188010,327016
12,Florida,FL,82.85593,84.43063000000001,85.91119,87.59914,77.18788,80.13193000000001,82.42184,85.07896,13398561,11438087,9454997,8610905,12807322,10520680,8736183,8228656
13,Georgia,GA,82.42392,84.40408000000001,85.8159,87.69196,76.14535,79.73519,82.32181,85.02696999999999,6031611,5297417,4879944,4898034,5183943,4910552,4599771,4771151
15,Hawaii,HI,80.95251999999999,82.58419,83.28809,85.24776,76.63914,79.47097,81.50917,84.15811,707725,832662,823927,780904,706804,800000,842325,736583
16,Idaho,ID,82.7281,85.56174,86.75501,88.44431999999999,78.33078,82.38628,84.5255,86.33157,835679,926619,904895,626539,815117,968469,888522,587945
17,Illinois,IL,81.89565,84.01420999999999,85.35370999999999,87.18217,76.86943000000001,79.93194,82.2392,84.68864,6366139,7184044,7998634,8640978,5880948,6758274,7725011,8276674
18,Indiana,IN,80.85909000000001,83.82262,85.59439,87.2877,74.68581,79.54141,82.39766999999999,84.43375,3465109,4061890,4466636,3419098,3061136,4044858,4454461,3245215
19,Iowa,IA,81.93179,84.95246,86.69869,88.51839,76.56285,81.04865,83.58218000000001,85.33348000000001,1464696,1982185,2277034,1559363,1418773,2079563,2209290,1439454
20,Kansas,KS,81.07314000000001,84.16984000000001,86.11202,87.8092,75.77605,80.24029,82.95812,85.3091,1370883,1697512,1886898,1618560,1305295,1694890,1849880,1522603
21,Kentucky,KY,81.4158,83.88276,85.56631,87.30549,75.54086,79.83354,82.7248,84.86381,2773567,2726363,2532249,1805827,2605410,2651305,2463581,1719501
22,Louisiana,LA,82.18156,84.36163,85.46604,87.0639,76.07173,80.05096999999999,82.25531,84.44733000000001,3348817,2495033,2242403,1967364,2698569,2436461,2283893,1905755
23,Maine,ME,83.19596999999999,85.29531999999999,86.90338,88.55705999999999,77.70413,81.45818,84.1353,86.59315,890641,1017206,1002112,658661,842562,1007688,951671,601256
24,Maryland,MD,81.92296999999999,84.00179,85.60253,87.76212,76.57346,79.83632,82.25224,85.33648000000001,2607733,3293785,3729137,5136334,2395549,2816042,3307760,4890829
25,Massachusetts,MA,83.06703,84.63467,86.29142,88.03429,77.94064,80.76343,83.24006,85.88328,2837249,3604240,4314331,5766711,2699548,3352023,4046247,5540157
26,Michigan,MI,81.03877,84.27158,86.20099,87.53152,75.54075999999999,80.32691,82.84546999999999,84.9523,5610699,6192671,6789899,6274765,4906198,5826905,6698201,6125988
27,Minnesota,MN,82.60098,85.24011,87.0637,88.38105,77.6096,81.77908000000001,84.41235999999999,86.30363,2116131,3093751,3887814,3790139,2158814,3093717,3825397,3626220
28,Mississippi,MS,82.3923,84.31615,85.63410999999999,87.13920999999999,76.10467,79.76059000000001,82.04366,84.22906,2322871,1670721,1376574,979642,1948927,1671502,1347486,915049
29,Missouri,MO,81.41933,84.32713000000001,86.0771,87.70036999999999,75.85168,80.18668000000001,82.76201999999999,84.93381,3554005,3857317,3761858,3034516,3271700,3611200,3604798,2853355
30,Montana,MT,82.75281,85.4824,87.07115999999999,88.35741,78.44444,82.59479,85.001,86.27965,676666,671015,640935,410824,652990,695820,628442,378566
31,Nebraska,NE,82.30776,85.08136,86.87606,88.08319,76.96005,81.17156,83.60519000000001,85.44443000000001,859630,1136947,1259440,946375,862391,1170147,1225673,880201
32,Nevada,NV,80.16355,82.02396999999999,83.67475999999999,85.80407,75.36532,78.58315999999999,81.16714,83.46443000000001,1396072,1582808,1444143,1294757,1557991,1585093,1459025,1264011
33,New Hampshire,NH,82.37695,84.85468,86.67926,87.88306,76.96324,81.17352,83.2845,85.99925999999999,624192,879989,1048770,1090413,599989,867912,1042384,1069700
