st,statename,stateabbrv,year,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,Alabama,AL,2001,81.73687,84.27046,85.57561,86.91793,74.85247,80.15959000000001,83.56535,84.86827,194089,158475,147619,120205,165515,160929,143569,113529
1,Alabama,AL,2002,82.29413000000001,85.62631,87.24429,86.2417,74.57911999999999,78.60051999999999,83.66674,84.71497,204031,162615,148026,116868,172638,163867,145058,110186
1,Alabama,AL,2003,81.44639000000001,84.91285,84.79807,87.87489000000001,76.4386,80.26294,83.8232,83.96667,207635,163953,149117,119178,174545,164215,145901,112692
1,Alabama,AL,2004,83.54853,83.73943,86.1191,87.53855,74.74963000000001,80.28983000000001,82.96522,87.1037,209570,166413,149730,122762,175617,165009,147526,115676
1,Alabama,AL,2005,82.79951,85.4022,86.47381999999999,87.89859,75.53976,80.29504,82.56454000000001,85.34640999999999,209463,167581,151420,126151,174581,166114,148807,119517
1,Alabama,AL,2006,84.08261999999999,85.74873000000001,86.24054,86.80058000000001,76.07038,81.4341,82.51283000000001,84.56918,212145,169968,152990,127068,176862,167986,150107,120803
1,Alabama,AL,2007,84.08828000000001,86.32239,87.41866,86.04807,75.50362,81.41683,84.35445,85.03654,214855,171469,154516,129359,178491,168898,152387,123052
1,Alabama,AL,2008,83.73382,85.86448,86.27748000000001,89.07434,75.85545,81.72641999999999,84.43873,85.30038,216883,173564,156158,131361,179441,170122,154409,125231
1,Alabama,AL,2009,82.345,85.43463,87.85999,88.03273,74.94183000000001,80.59159,84.25486,84.74158,223153,177569,160521,134806,185501,173401,158312,128004
1,Alabama,AL,2010,84.25678,85.7678,87.62148,88.60237,75.28465,81.46382,83.03766,84.90801,217680,176894,160147,135772,181890,171624,158121,129129
1,Alabama,AL,2011,84.01485,86.66627,88.13795,86.91743000000001,76.48451999999999,80.29613,83.70421999999999,85.44094,214768,176507,159259,135632,179891,169612,157148,128565
1,Alabama,AL,2012,83.65572,85.55633,88.40366999999999,88.31585,76.03457,80.90952,84.29146999999999,86.26861,212421,176200,159113,136347,177669,168978,158118,129370
1,Alabama,AL,2013,83.3256,85.8541,88.47634000000001,87.32621,75.94003000000001,80.02623,82.6413,86.52786,211866,177250,158010,132893,182139,170724,156551,125406
1,Alabama,AL,2014,83.6084,86.2153,87.50069,88.37796999999999,76.56824,81.91404,83.52598,87.6731,202399,173981,151057,128062,173448,165816,151580,119775
