cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
100,Johnson City,576081.0,47,Tennessee,TN,82.23678000000001,84.42139,86.65188,88.09465,75.96896,80.7042,83.38158,84.76358,469268,448883,364376,202619,446528,456216,341333,187282
200,Morristown,227816.0,47,Tennessee,TN,81.76405,84.34338000000001,85.25085,88.28976999999999,75.41985,80.55089,82.46941,84.47321,233428,199116,151926,72675,215500,202248,142344,66137
301,Middlesborough,66708.0,47,Tennessee,TN,82.89065,85.94981,86.09345,86.47567,76.09891,81.10594,83.54399000000001,86.92237,59222,42529,25973,9897,59211,43418,24552,9062
302,Knoxville,727600.0,47,Tennessee,TN,81.41161,84.12418000000001,86.08134,88.53031999999999,75.08934,79.98375,83.53584000000001,85.72936999999999,505662,511618,487133,419858,466740,485002,472548,397129
401,Winston-Salem,493180.0,37,North Carolina,NC,82.03275,84.75146,86.10728,87.21457,75.91058000000001,80.33028,82.83266,85.94556999999999,353513,380424,373239,303196,316688,345396,347951,281565
402,Martinsville,92753.0,51,Virginia,VA,83.1584,85.64350999999999,86.69745999999999,85.71341,75.74322,82.68401999999999,83.0819,83.7263,89396,74119,52717,22792,82853,72945,47929,20207
500,Greensboro,1055133.0,37,North Carolina,NC,82.36854,84.73731,86.26536999999999,87.96936,76.11208,79.78058,82.90731,85.38944000000001,775588,764372,699105,524033,695228,721452,660778,485007
601,North Wilkesboro,90016.0,37,North Carolina,NC,83.71016999999999,85.09481,86.91823000000001,87.039,77.23505,80.94914,82.73815,84.52425,79038,72700,51842,27287,79581,73665,47086,24426
602,Galax,64676.0,51,Virginia,VA,82.62592,85.23945,87.88141999999999,89.37389,77.78432,80.55271,83.56554,85.33348000000001,55199,49665,34643,12547,56077,52031,30865,10837
700,Spartanburg,354533.0,45,South Carolina,SC,82.25587,84.49866999999999,85.89187,88.34415,74.68555,79.84170999999999,82.20933000000001,84.61806,276821,250094,215516,143106,246079,252571,207870,132603
800,Gastonia,413331.0,37,North Carolina,NC,81.25001,84.16605,85.76661999999999,87.66739,75.01979,79.40258,81.64541,84.94565,320964,311054,285278,177507,285392,318219,278434,164277
900,Charlotte,1423942.0,37,North Carolina,NC,82.32784000000001,84.70934,86.07633,87.80398000000001,76.23858,79.91441,82.73731,85.26671999999999,998780,1026849,993688,1071960,884986,937699,951334,1059020
1001,Boone,77361.0,37,North Carolina,NC,83.41571,85.38209,88.47833,87.91784,77.94613000000001,82.77787,85.61376,85.77105,54926,52327,41336,28704,55970,50754,36315,25706
