cz,czname,pop2000,stateabbrv,year,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,Knoxville,727600.0,TN,2001,83.36636,88.77601,87.70335,87.71755,76.58252,76.58252,77.19232,85.92851,23179,26404,28119,26036,21896
302,Knoxville,727600.0,TN,2002,81.59340999999999,83.57214,85.61388000000001,87.43512,77.31999,77.31999,80.36062,83.05601,22861,27378,28942,26493,21661
302,Knoxville,727600.0,TN,2003,82.10624,84.89568,87.29244,89.16563000000001,76.78399999999999,76.78399999999999,82.71089,81.41277,23397,27808,29120,27111,22188
302,Knoxville,727600.0,TN,2004,84.4222,84.8875,80.45191,89.43281999999999,75.07301,75.07301,80.58906999999999,85.10821,24527,27793,29142,27725,23317
302,Knoxville,727600.0,TN,2005,83.74638,86.02032,91.46164,89.50886,75.95201999999999,75.95201999999999,76.81902,85.42942,25165,27933,29082,28289,23870
302,Knoxville,727600.0,TN,2006,84.535,84.5159,89.2451,87.71183,73.82327,73.82327,78.51884,85.20684,25592,28003,29202,28751,24311
302,Knoxville,727600.0,TN,2007,85.12611,86.62326,87.33414,91.74175,74.36026,74.36026,80.19373,87.7918,25773,28614,30053,28972,24488
302,Knoxville,727600.0,TN,2008,84.34855999999999,86.29243000000001,90.24914,90.75948000000001,75.19799,75.19799,77.68916999999999,87.0661,26065,29018,30468,29405,24751
302,Knoxville,727600.0,TN,2009,79.317,87.34414,88.09903,91.19672,72.97475,72.97475,78.22106,82.75001999999999,26448,30708,31287,30275,24958
302,Knoxville,727600.0,TN,2010,81.60028,87.57025,86.9893,88.19331,75.44814000000001,75.44814000000001,81.66998000000001,84.6934,26311,30107,30848,30027,24635
302,Knoxville,727600.0,TN,2011,80.37471,86.8754,89.04972,86.99575,73.62259,73.62259,79.61758,83.59057,26035,29804,29977,30103,24359
302,Knoxville,727600.0,TN,2012,84.25277,84.51266,86.66534,89.39346,73.77847,73.77847,81.28378000000001,83.7944,26370,29518,29712,30130,24570
302,Knoxville,727600.0,TN,2013,80.77104,83.55288,88.86979000000001,89.3214,76.30955,76.30955,78.83041,83.90799999999999,26171,29910,29895,29974,24128
302,Knoxville,727600.0,TN,2014,83.02575,88.05711,87.94071,92.01668000000001,75.95527,75.95527,78.09945,83.6647,25148,28698,28816,28779,23078
500,Greensboro,1055133.0,NC,2001,81.08435,86.91944000000001,86.97478000000001,85.73111,74.55157,74.55157,80.73775,83.47977,32295,37386,41179,38944,30540
500,Greensboro,1055133.0,NC,2002,81.6255,86.70401,84.99213,83.54948,75.40989,75.40989,79.42881,82.2035,32136,39158,42356,39635,30155
500,Greensboro,1055133.0,NC,2003,82.03659,83.03971,88.4845,90.23271,76.79623000000001,76.79623000000001,79.32760999999999,85.3362,31764,40611,43093,39317,29914
500,Greensboro,1055133.0,NC,2004,83.17944,86.66422,85.8,89.8035,75.35529,75.35529,79.1208,84.68427,32002,41099,43321,39988,29902
500,Greensboro,1055133.0,NC,2005,84.37244,87.33385,84.16789,90.05268000000001,77.62885,77.62885,79.99231999999999,81.82359,31870,41593,43633,39988,29895
500,Greensboro,1055133.0,NC,2006,83.68871,84.59536999999999,88.82471,91.00013,76.08726999999999,76.08726999999999,81.83968,82.87254,31787,42487,43964,40281,29772
500,Greensboro,1055133.0,NC,2007,81.85549,86.02799999999999,86.0625,90.4239,77.57746999999999,77.57746999999999,81.89689,84.4771,31913,43727,44329,40712,29810
500,Greensboro,1055133.0,NC,2008,84.62008,87.88303,88.85491999999999,88.23087,76.68159,76.68159,80.9411,84.24475,31742,44802,45225,40773,29646
500,Greensboro,1055133.0,NC,2009,83.65483,84.00461,84.64069,89.00412,75.70387,75.70387,81.7052,83.67421999999999,32416,45905,46178,41828,30337
500,Greensboro,1055133.0,NC,2010,83.28492,89.0384,89.56113,86.68406999999999,75.8355,75.8355,83.30038,83.19637,31499,45764,46356,41417,29229
500,Greensboro,1055133.0,NC,2011,81.0285,86.61227,89.27405999999999,90.47235,75.91513,75.91513,81.72428000000001,86.40844,31077,45831,45514,41007,28692
500,Greensboro,1055133.0,NC,2012,83.25341999999999,86.82256,85.89395999999999,89.90878000000001,76.84809,76.84809,80.22023,86.94901,30929,45376,45413,41547,28602
500,Greensboro,1055133.0,NC,2013,85.4078,83.89673,89.04456,91.85271,75.91332,75.91332,81.75376,84.395,30277,46273,45558,40881,27759
500,Greensboro,1055133.0,NC,2014,81.73836999999999,86.79896,89.53419,86.32604,78.62494000000001,78.62494000000001,81.20975,85.00859,29788,44870,44421,38999,26622
900,Charlotte,1423942.0,NC,2001,81.4684,84.25844000000001,86.91363,89.49911999999999,74.45371,74.45371,79.06661,83.57644,58451,43393,48263,51288,58218
900,Charlotte,1423942.0,NC,2002,82.21534,86.40063,87.67453,89.70852,75.83516,75.83516,78.50717,82.9438,59389,45923,49954,53105,59151
900,Charlotte,1423942.0,NC,2003,79.16722,85.34097,86.21385,87.27463,74.59836999999999,74.59836999999999,78.76116999999999,78.21609000000001,60823,47867,51825,54154,60280
900,Charlotte,1423942.0,NC,2004,83.73079,86.01078000000001,83.76888000000001,85.83933,75.37122,75.37122,81.03745,83.57703000000001,61961,49220,53307,54954,61225
900,Charlotte,1423942.0,NC,2005,81.67855,84.49301,88.79032,84.02745999999999,77.48305,77.48305,78.73085,81.6871,62919,50752,54504,56084,62301
900,Charlotte,1423942.0,NC,2006,83.84843000000001,84.28545,86.55466,87.11994,77.25249000000001,77.25249000000001,80.30108,85.48823,64423,53293,56237,57507,63691
900,Charlotte,1423942.0,NC,2007,84.73059,86.31084,89.78575,90.20801999999999,75.23505,75.23505,80.61936,83.36803,67644,55502,58488,59021,67172
900,Charlotte,1423942.0,NC,2008,83.75874,83.48250999999999,87.38389000000001,85.66925,76.26399,76.26399,81.56673,82.32301,70728,57579,60169,60786,69957
900,Charlotte,1423942.0,NC,2009,83.1577,84.41125,88.76986,90.89373,77.62944,77.62944,82.49045,85.20623,73311,60056,63036,62490,72432
900,Charlotte,1423942.0,NC,2010,81.65273,83.69518000000001,86.47621,87.69099,76.07695,76.07695,81.57524000000001,84.71441999999999,72421,62052,64100,63489,71482
900,Charlotte,1423942.0,NC,2011,83.24206,85.80534,86.44541,88.99083,77.70058,77.70058,82.60329,82.32252,71503,63462,64683,63974,70336
900,Charlotte,1423942.0,NC,2012,84.75,86.45966,86.99651,87.1459,75.28260999999999,75.28260999999999,82.02512,85.14,73195,64152,65390,64365,72148
900,Charlotte,1423942.0,NC,2013,81.07275,86.50604,84.83776999999999,89.27495,76.44321,76.44321,79.90955,84.53766,74536,65782,66027,64578,73267
900,Charlotte,1423942.0,NC,2014,83.67694,86.56755,89.41075,85.90371999999999,77.21678,77.21678,79.81609,82.03515,72365,64249,65399,62861,71682
1400,Fayetteville,644101.0,NC,2001,78.14174,80.8203,79.0464,86.56016,72.33932,72.33932,82.00832,81.12099,12146,23141,23034,18507,10935
1400,Fayetteville,644101.0,NC,2002,82.32056,84.15137,79.30533,88.39542,76.63029,76.63029,79.14664,82.98803000000001,11886,24396,23254,18738,10671
1400,Fayetteville,644101.0,NC,2003,79.71638,83.65253,82.00877,90.58162,73.51229000000001,73.51229000000001,76.64531,87.01666999999999,11980,24966,23277,19063,10689
1400,Fayetteville,644101.0,NC,2004,82.82404,84.68043,82.27108,87.78706,76.65482,76.65482,78.83979000000001,82.91743000000001,12302,25218,23497,19140,11100
1400,Fayetteville,644101.0,NC,2005,78.76536,83.76472,83.16824,88.07361999999999,73.44716,73.44716,77.73755,81.37401,12591,25553,23707,19420,11426
1400,Fayetteville,644101.0,NC,2006,80.60197,88.03303000000001,82.17096,87.7932,77.803,77.803,78.76796,82.20399,12720,26025,23874,19504,11756
1400,Fayetteville,644101.0,NC,2007,84.57143,80.78962,79.79221,86.50316,78.14182,78.14182,81.17129,83.50703,12953,26725,23649,19592,11964
1400,Fayetteville,644101.0,NC,2008,85.50695999999999,84.72318,84.15864,92.82053,74.65924,74.65924,84.87444,85.13342,13100,26652,24135,19917,12136
