st,statename,stateabbrv,le_raceadj_slope_q1_F,le_raceadj_slope_q2_F,le_raceadj_slope_q3_F,le_raceadj_slope_q4_F,le_raceadj_slope_q1_M,le_raceadj_slope_q2_M,le_raceadj_slope_q3_M,le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,Alabama,AL,0.1330623,0.11977049999999999,0.20794829999999997,0.0896098,0.09115089999999999,0.10545009999999999,0.011586399999999998,0.1408171,2950958,2392439,2157683,1796464,2478228,2347295,2127594,1700935
2,Alaska,AK,-0.2373265,0.12314589999999999,0.0962732,0.3218058,-0.12500450000000002,-0.0841904,0.086199,0.3088739,255664,327026,389366,463937,300102,333457,427318,467876
4,Arizona,AZ,0.051844600000000005,0.1344733,0.22523339999999997,0.2391846,-0.0205176,0.0985938,0.1560961,0.2191211,2819027,2906356,2638926,2544882,2845278,2687035,2511040,2443736
5,Arkansas,AR,0.0586567,0.12146230000000001,0.1867466,0.2114099,0.101011,0.019428099999999997,0.2801573,0.27534109999999995,1764012,1529819,1264650,855278,1609533,1505479,1196074,799507
6,California,CA,0.1272624,0.21742840000000002,0.2576748,0.225481,0.0724525,0.24129420000000001,0.1577684,0.20902489999999999,17585364,16174468,15777632,19808216,17875254,15669117,15051467,19605804
8,Colorado,CO,0.2012424,-0.037531699999999994,0.13863029999999998,0.1917748,0.0234213,0.0221179,0.19197060000000002,0.1343291,1966175,2406240,2653094,3035876,2035489,2329176,2591261,2956349
9,Connecticut,CT,0.23196839999999996,0.24549169999999998,0.4010338,0.1781326,0.0927338,0.1764019,0.220926,0.16395379999999998,1241192,1637115,2057702,3020021,1194223,1502402,1948420,2891359
10,Delaware,DE,0.22900570000000003,-0.0401093,0.0594486,0.3253152,0.10763479999999999,0.2163784,0.28025409999999995,0.23141750000000003,388151,467147,490674,515389,354845,413571,463658,488355
11,District Of Columbia,DC,-0.016858599999999998,0.2204335,0.1881415,0.0609779,0.1239772,0.15256199999999998,0.0256757,0.0164024,295546,276579,207738,275485,323723,227163,163177,272265
12,Florida,FL,-0.0835493,0.0594535,0.1498569,0.12425530000000001,-0.0653978,-0.05178440000000001,0.1102901,0.23632489999999998,11564596,9776355,7945169,7162995,11095844,9050404,7416705,6902024
13,Georgia,GA,0.0687443,0.21320250000000002,0.2050333,0.13857429999999998,0.103736,0.051112300000000006,0.1282203,0.1606463,5325068,4638885,4234494,4245401,4592568,4311930,3995553,4130759
15,Hawaii,HI,0.38319840000000005,0.3691373,0.41775959999999995,0.0346703,0.1843453,0.1958672,0.27415500000000004,-0.07846449999999999,609736,719165,705227,649296,610816,695070,723572,614249
16,Idaho,ID,0.0825083,0.127638,0.1554471,0.0066503,-0.029583699999999997,-0.0690305,0.026439599999999997,0.3548458,710679,795280,784669,531878,694471,831196,766311,500100
17,Illinois,IL,0.09290570000000001,0.2218737,0.21268179999999998,0.3313506,0.123431,0.1823499,0.1830761,0.2690031,5471533,6153298,6871574,7460029,5101749,5826039,6663316,7168342
18,Indiana,IN,0.1207548,0.10373980000000001,0.3330946,0.3430925,0.10779649999999999,0.1185002,0.11515610000000001,0.2102308,2952695,3442917,3867042,2934017,2657822,3466826,3845744,2790342
19,Iowa,IA,-0.18579160000000003,0.1193909,0.314766,0.2564268,-0.1555785,0.1077957,0.1698956,0.1864188,1232756,1671051,1961262,1332244,1212500,1770261,1902627,1240383
20,Kansas,KS,-0.050535000000000004,0.2962843,0.3056312,0.1852893,-0.0136655,0.0883692,0.057318499999999994,0.4242517,1170731,1453381,1627535,1390407,1129195,1464328,1598851,1312265
21,Kentucky,KY,0.018303599999999996,0.06915510000000001,0.16100820000000002,0.0759066,0.0553298,0.06218200000000001,0.1778182,0.30101409999999995,2366313,2340249,2204063,1559467,2237718,2279296,2144608,1486217
22,Louisiana,LA,0.0654745,0.19098270000000003,0.2606424,0.0077646,0.0472124,0.0565293,0.2391907,0.23307809999999998,2920552,2151597,1929544,1687568,2348736,2105788,1977062,1642593
23,Maine,ME,0.3557635,0.2569045,0.143952,0.4077196,0.0723058,0.25875529999999997,0.0514625,0.4004699,756501,870082,868324,558586,716973,863401,821344,511715
24,Maryland,MD,0.0803492,0.1796303,0.1262702,0.1924335,0.1127213,0.16743229999999998,0.0364265,0.2281616,2265864,2862968,3214830,4435374,2104664,2447179,2850346,4205675
25,Massachusetts,MA,0.2335641,0.2914352,0.28246350000000003,0.2621712,0.15514260000000002,0.22988850000000002,0.2455688,0.1824097,2444687,3095970,3686177,5003351,2339694,2901373,3481797,4818875
26,Michigan,MI,0.0320388,0.2420784,0.33085359999999997,0.3621857,0.0962367,0.18689579999999997,0.2856327,0.2771015,4791206,5248861,5864283,5406815,4261185,4930891,5779980,5256587
27,Minnesota,MN,0.0203527,0.2435596,0.2604858,0.14549520000000002,0.00105,0.137996,0.27829570000000003,0.11365499999999999,1805654,2637680,3369652,3309660,1866267,2672905,3309545,3176077
