cz,czname,pop2000,fips,statename,stateabbrv,le_agg_v1_F,le_raceadj_v1_F,le_agg_v2_F,le_raceadj_v2_F,le_agg_v3_F,le_raceadj_v3_F,le_agg_v4_F,le_raceadj_v4_F,le_agg_v5_F,le_raceadj_v5_F,le_agg_v6_F,le_raceadj_v6_F,le_agg_v7_F,le_raceadj_v7_F,le_agg_v8_F,le_raceadj_v8_F,le_agg_v9_F,le_raceadj_v9_F,le_agg_v10_F,le_raceadj_v10_F,le_agg_v11_F,le_raceadj_v11_F,le_agg_v12_F,le_raceadj_v12_F,le_agg_v13_F,le_raceadj_v13_F,le_agg_v14_F,le_raceadj_v14_F,le_agg_v15_F,le_raceadj_v15_F,le_agg_v16_F,le_raceadj_v16_F,le_agg_v17_F,le_raceadj_v17_F,le_agg_v18_F,le_raceadj_v18_F,le_agg_v19_F,le_raceadj_v19_F,le_agg_v20_F,le_raceadj_v20_F,le_raceadj_v1_M,le_agg_v2_M,le_raceadj_v2_M,le_agg_v3_M,le_raceadj_v3_M,le_agg_v4_M,le_raceadj_v4_M,le_agg_v5_M,le_raceadj_v5_M,le_agg_v6_M,le_raceadj_v6_M,le_agg_v7_M,le_raceadj_v7_M,le_agg_v8_M,le_raceadj_v8_M,le_agg_v9_M,le_raceadj_v9_M,le_agg_v10_M,le_raceadj_v10_M,le_agg_v11_M,le_raceadj_v11_M,le_agg_v12_M,le_raceadj_v12_M,le_agg_v13_M,le_raceadj_v13_M,le_agg_v14_M,le_raceadj_v14_M,le_agg_v15_M,le_raceadj_v15_M,le_agg_v16_M,le_raceadj_v16_M,le_agg_v17_M,le_raceadj_v17_M,le_agg_v18_M,le_raceadj_v18_M,le_agg_v19_M,le_raceadj_v19_M,le_agg_v20_M,le_raceadj_v20_M,count_v1_F,count_v2_F,count_v3_F,count_v4_F,count_v5_F,count_v6_F,count_v7_F,count_v8_F,count_v9_F,count_v10_F,count_v11_F,count_v12_F,count_v13_F,count_v14_F,count_v15_F,count_v16_F,count_v17_F,count_v18_F,count_v19_F,count_v20_F,count_v1_M,count_v2_M,count_v3_M,count_v4_M,count_v5_M,count_v6_M,count_v7_M,count_v8_M,count_v9_M,count_v10_M,count_v11_M,count_v12_M,count_v13_M,count_v14_M,count_v15_M,count_v16_M,count_v17_M,count_v18_M,count_v19_M,count_v20_M
100,Johnson City,576081.0,47,Tennessee,TN,79.93472,80.36386999999999,80.05173,80.54626,81.63833000000001,82.08171,82.75078,83.19721,82.82545999999999,83.25121999999999,83.34003,83.74226,82.43138,82.86935,84.39187,84.74778,85.67121999999999,86.00884,84.06135,84.46814,86.56026,86.82802,85.08821999999999,85.47916,88.3997,88.62164,86.30744,86.67121999999999,86.62841999999999,86.96089,86.66646999999999,86.95961,87.58507,87.88517,87.35276999999999,87.66422,88.12040999999999,88.29028000000001,89.48083000000001,89.72411,72.5767,74.44179,74.94555,74.86976999999999,75.34980999999999,75.75338,76.2642,77.49899,77.98701,78.68171,79.14655,80.27496,80.68285,80.60821999999999,81.01601,80.07381,80.53973,81.50358,81.9112,82.40508,82.77532,82.50587,82.89034000000001,82.97758,83.35574,84.30784,84.64822,83.30006999999999,83.67028,82.42554,82.82855,85.26689,85.55299000000001,84.32082,84.69044,83.62114,83.96674,86.48558,86.80821999999999,79746,88038,94080,97897,95393,91192,85748,86239,87252,86577,83828,78193,71503,64547,58186,50559,42999,36919,33001,33147,72116,82843,88570,93323,95343,92887,90418,88822,87314,84749,79484,73126,66058,60419,53056,46154,39680,33919,30307,31576
302,Knoxville,727600.0,47,Tennessee,TN,77.9211,78.60866999999999,80.17588,80.77993000000001,81.72583,82.18164,81.45033000000001,81.91779,82.74891,83.23718000000001,82.57689,83.01196,83.15337,83.52856,82.86189,83.32919,83.78603000000001,84.21478,85.40164,85.7231,85.45824,85.81260999999999,86.05592,86.43499,85.15103,85.58117,86.73895,87.08863000000001,85.82200999999999,86.17266,87.74184,87.95628,87.79823,88.01080999999999,88.72958,88.88294,89.4715,89.61625,89.44204,89.64805,71.9521,73.13552,73.78955,74.36063,74.90308,75.57355,76.06535,76.95987,77.50294,77.18048,77.65558,77.86057,78.29743,80.3847,80.82343,79.91898,80.37912,82.39503,82.7526,81.82406999999999,82.24226,82.75699,83.18634,83.88727,84.27554,83.7419,84.14229,83.81378000000001,84.17564,84.49843,84.80274,85.49583,85.74593,84.29055,84.58019,85.59221,85.86681999999999,86.75901,87.03459000000001,90205,93459,99387,104818,104925,101489,99087,98708,99103,99615,99715,97775,94002,92929,91543,88233,85020,81821,79768,73611,81502,89253,93184,95542,95018,95009,93100,94063,95309,96812,96397,93178,92407,90634,87532,84248,80545,77534,73574,68847
401,Winston-Salem,493180.0,37,North Carolina,NC,77.81693,78.99728,79.92555,80.94778000000001,81.50832,82.15505999999999,81.96068000000001,82.58223000000001,82.69337,83.11121,82.57458000000001,83.23793,84.15572,84.63806,85.13625,85.66064,85.07399000000001,85.52525,84.92293000000001,85.39473000000001,85.28426,85.78173000000001,85.83435,86.25523000000001,85.15958,85.62562,86.35217,86.75402,86.4892,86.86638,86.51903,86.87395,85.76938,86.15909,88.51102,88.77526999999999,89.50156,89.7007,87.72707,88.0564,73.87165,74.55455,75.57013,74.8358,75.50424,75.70992,76.37885,77.29465,77.79026999999999,77.48284,78.19106,79.08624,79.65120999999999,78.8103,79.45005,80.91341,81.43118,80.95148,81.48168000000001,81.26241999999999,81.82600000000001,82.67066,83.14922,83.01174,83.48678000000001,82.76576,83.25075,83.67709,84.09628000000001,85.63033,85.95218,86.82735,87.10707,85.02008000000001,85.38186999999999,85.35128,85.70104,85.58266,85.9148,59670,62975,68329,75735,77375,76673,74518,73066,72969,72699,73549,73495,73960,73049,70182,67335,63440,57371,53659,54801,53043,57442,61974,67654,68247,67413,67431,66615,67458,67539,67682,69316,68792,67390,66430,62384,58498,52824,50285,51189
500,Greensboro,1055133.0,37,North Carolina,NC,77.86757,79.11668,79.73689,80.81786,81.33633,82.12621,82.28689,83.08643000000001,83.21377,83.86969,82.48924,83.06005,82.78222,83.45026,85.06295,85.57561,85.22054,85.73548000000001,85.75842,86.27539,85.17102,85.66049,84.75045,85.21880999999999,87.48782,87.85783,85.93805,86.39616,86.8099,87.18133,87.06711999999999,87.39899,87.75197,88.07561,86.48843000000001,86.96556,88.99467,89.17598000000001,88.8141,88.94762,73.61203,74.03049,75.16386,74.57848,75.46981,76.03011,76.94015999999999,77.8138,78.56304,77.90154,78.52135,78.64065,79.34482,78.96712,79.59995,79.64341999999999,80.25729,80.77093,81.38811,81.75478000000001,82.28475999999999,81.46441999999999,81.96518,83.16078,83.63580999999999,83.29284,83.77184,84.30228000000001,84.70846999999999,82.26666,82.71468,84.39489,84.79688,85.48849,85.92674,84.19958000000001,84.54453000000001,86.82899,87.00314,126752,139846,154865,167889,168232,159555,151764,147323,143818,142878,142939,140875,138386,133963,128215,121600,110566,100103,90900,87675,114813,125211,138211,150517,150806,145529,142793,140400,139552,137423,135868,134071,130430,125569,119933,111747,102345,92976,84862,81564
700,Spartanburg,354533.0,45,South Carolina,SC,77.51077,78.72483000000001,79.6717,80.74116,81.76904,82.56434,81.66334,82.4213,83.59698,84.30303,83.11586,83.8016,84.47709,85.03397,83.17893000000001,83.7297,84.59714,85.12824,86.12019000000001,86.5759,84.03397,84.58411,85.36199,85.85783,86.17736,86.47886,87.16736,87.37883000000001,83.6599,84.10431,87.69796,88.04486999999999,87.00538,87.34682,86.84876,87.07198000000001,86.4769,86.82669,89.70483,89.87532,71.95286999999999,72.30253,73.44841,73.89008000000001,74.83456,74.43725,75.27628,75.63673,76.4697,76.30144,77.08292,78.50668,79.18954000000001,79.94707,80.52765,80.33125,80.93472,80.73581999999999,81.32623000000001,81.21909000000001,81.76817,81.2664,81.8088,81.87334,82.24525,82.91955,83.20827,82.01473,82.42572,80.31371999999999,80.84087,83.81805,84.19611,83.5966,83.82729,85.29184000000001,85.64196,88.26241999999999,88.45196999999999,47309,49209,54957,59228,59512,55826,51304,47134,44952,45007,44765,44292,42928,40649,38164,35307,31386,27167,22985,21999,42488,45490,47696,50971,52883,52602,51532,49696,47394,45784,44293,43083,40784,38414,36248,33088,29761,24708,21157,20158
800,Gastonia,413331.0,37,North Carolina,NC,76.86327,77.97285,79.51111999999999,80.45640999999999,81.03803,81.86480999999999,81.93203000000001,82.64413,81.51451999999999,82.18670999999999,82.5075,83.0787,82.31716,82.94981,83.13361,83.71304,83.56966,83.84836999999999,85.44629,85.67822,85.64777,85.99375,86.5779,86.84402,83.54066,83.95151,86.26111,86.56241999999999,86.87318,87.21536,86.55116,86.96956999999999,86.37575,86.78649,88.22941999999999,88.49525,89.10069,89.28269,88.40651,88.68807,72.26793,73.45699,74.43975,73.73544,74.61499,74.10853,74.88474000000001,77.1387,77.83216,78.07265,78.66198,78.16936,78.78638000000001,80.12769,80.69524,77.92371999999999,78.25731999999999,80.40685,80.714,80.69895,81.14076999999999,81.57171,81.95867,82.14267,82.51732,80.45704,80.8728,82.98127,83.4,82.81602,83.28618,83.71129,84.12756,85.75026,86.09354,83.41421,83.77599000000001,87.01512,87.29425,52156,58980,64632,68653,68677,63624,60984,60385,59086,58675,59422,57884,56026,54618,51852,46382,40005,34572,28791,23772,43618,50886,56989,61925,64165,62639,63265,62691,62144,60957,59164,56722,55039,51930,48599,42950,37280,31427,26501,22076
900,Charlotte,1423942.0,37,North Carolina,NC,78.57465,79.84607,80.95274,81.99078,81.15018,81.87987,82.39635,83.16125,82.80738000000001,83.56052,82.6362,83.21342,84.34854,84.83125,84.67833,85.19324,84.24179000000001,84.7637,85.02881,85.50128000000001,85.20063,85.6254,85.81834,86.18557,86.2962,86.60892,85.16393000000001,85.50405,86.20908,86.51078000000001,86.68507,86.97046,87.93253,88.15247,87.43275,87.64706,88.39581,88.6505,88.74588,88.95804,74.31201999999999,74.32903,75.42477,75.08995,75.89265,76.09469,76.95355,77.39494,78.23996,77.78481,78.40734,78.10143000000001,78.68935,79.24579,79.85485,79.48892,80.06657,80.73399,81.26703,80.98657,81.48892,82.41877,82.84835,82.84595,83.22494,82.94722,83.30768,83.46208,83.81075,84.35015,84.67635,84.10757,84.4202,84.48548000000001,84.76485,86.06129,86.34888000000001,86.39362,86.66608000000001,172258,186851,197516,208063,212466,209988,202817,198663,198356,196395,192512,193026,194070,195297,198406,201582,202400,205286,212901,231631,157291,165843,172414,182915,188680,186890,184513,183602,181979,182275,181057,183357,185225,189087,193032,195522,199230,201513,212557,232170
1100,Hickory,375363.0,37,North Carolina,NC,77.51074,78.3718,79.45956,80.22771,80.92801999999999,81.56407,80.76032,81.36559,81.78582,82.28116999999999,83.0239,83.35943,82.45889,82.78974000000001,83.91306,84.3185,82.58923,83.05696,84.73764,85.14201,84.52986999999999,84.97606999999999,85.54845999999999,85.89832,84.54055,84.94811,83.47162,83.93207,88.31374,88.57381,88.20446,88.49591,87.26700000000001,87.6468,87.71089,88.03836,89.2838,89.46394000000001,86.9151,87.27924,71.72704,73.45654,74.25374000000001,73.71984,74.40656,75.25294,75.87568,76.80841,77.30971,78.23371999999999,78.61578,79.29642,79.64679,79.84888000000001,80.32293,80.19072,80.66965,81.37361,81.83140999999999,79.60904000000001,80.1123,80.79695,81.23026999999999,79.82964,80.28846,81.65187,82.07182,82.72077,83.17052,82.2318,82.73554,84.99486,85.40965,85.25871,85.62595999999999,86.98486,87.20308,85.3918,85.74178,44376,48717,55506,63699,65495,62773,58158,55933,57012,58453,59032,58936,56400,52670,48386,44221,39464,35922,35011,36660,39119,44319,52200,61213,63725,61560,59784,59606,60422,59826,58411,57449,53478,49866,45544,40909,37304,33736,34405,35732
1203,Asheville,398505.0,37,North Carolina,NC,80.66327,81.09212,81.5956,82.02467,82.80084000000001,83.30329,82.66872,83.2035,83.62318,84.08915999999999,83.52161,83.98149000000001,85.35561,85.68105,86.26224,86.49094000000001,84.78613,85.13927,85.66317,86.0248,85.55714,85.89663,84.81692,85.17952,86.66163,87.00706,88.11148,88.40075999999999,87.06735,87.3762,88.29668000000001,88.49880999999999,90.49854,90.64473000000001,88.96127,89.22112,87.63665,87.97815,89.29494,89.43070999999999,75.61365,76.82014000000001,77.29836,76.16235999999999,76.70116,77.22284,77.79281999999999,78.4985,79.02351999999999,79.55894,80.00455,80.08785,80.52812,79.87003,80.28416999999999,82.73293000000001,83.08261999999999,82.92139,83.3073,83.7139,84.02971,83.27813,83.61782,85.01131,85.33896999999999,85.12454,85.48894,85.28656,85.56981999999999,83.5953,83.91086999999999,83.96762,84.30325,85.77457,86.11479,84.41150999999999,84.83504,84.35212,84.65782,57606,59546,60971,65387,66983,65385,63233,62766,62183,60929,61101,59074,56898,54001,49850,45187,40527,35770,33495,34901,51343,55506,57577,60139,60326,58172,57454,56794,56535,55530,54378,52427,50808,46993,43838,40025,34958,30902,29029,30589
1302,Florence,548986.0,45,South Carolina,SC,78.79890999999999,80.36089,81.45963,82.7336,81.46859,82.63999,82.95036,83.85162,83.08918,83.82066,83.46198000000001,84.21615,83.34983000000001,84.03107,83.93245,84.61146,83.4753,84.11839,84.66632,85.20943,85.06152,85.58294000000001,83.67589,84.19695,84.76841999999999,85.27149,84.85755,85.36140999999999,87.36728000000001,87.75785,87.29738,87.72249000000001,87.54364,87.9463,87.43513,87.82126,87.20648,87.55865,86.5949,86.53564,74.09039,73.40934,74.84251,74.04419,75.42694,75.85172,76.92236,77.45576,78.29796999999999,77.56192,78.44397,77.25445,77.99897,78.81487,79.57488000000001,79.07082,79.72967,81.88634,82.46152,81.68048,82.25498,82.68191999999999,83.15709,82.38171,82.90037,81.6157,82.16524,82.80984000000001,83.32999000000001,83.83913000000001,84.33084000000001,83.07518,83.59097,83.80698000000001,84.26115,85.3138,85.70594,84.98498000000001,85.145,96919,125439,130477,118355,101750,88075,79161,73643,70151,66858,64161,61488,58588,56223,53049,49504,45809,40743,37208,37676,80314,94999,100673,96382,88852,81420,75274,70165,65191,61992,58292,56307,53872,51041,47674,44996,40875,36048,33155,34878
