cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_slope_q1_F,le_raceadj_slope_q2_F,le_raceadj_slope_q3_F,le_raceadj_slope_q4_F,le_raceadj_slope_q1_M,le_raceadj_slope_q2_M,le_raceadj_slope_q3_M,le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,Knoxville,727600.0,47,Tennessee,TN,-0.10912000000000001,0.0369538,0.1550693,0.1418095,-0.1334046,-0.0084114,-0.0462036,0.0818362,429563,433760,416717,353042,401696,414663,402070,332210
500,Greensboro,1055133.0,37,North Carolina,NC,0.09500589999999999,0.021628900000000003,0.2111187,0.16661979999999998,0.1139877,0.160768,0.1749497,0.22781020000000002,668573,652306,597988,441495,604882,620540,565317,410875
900,Charlotte,1423942.0,37,North Carolina,NC,0.131414,0.07333630000000001,0.043321,-0.0121041,0.13231099999999998,0.1917434,0.1412631,0.1824459,875481,896560,863508,943669,783282,821382,828656,933342
1400,Fayetteville,644101.0,37,North Carolina,NC,0.3880125,0.25476750000000004,0.5902696999999999,-0.1771104,0.0929968,0.1263961,0.1974609,-0.3675294,455646,343966,287087,182435,365008,335444,276920,166806
1701,Raleigh,1412127.0,37,North Carolina,NC,0.0843597,0.2669969,0.22874940000000002,0.34377470000000004,0.21104720000000002,0.2231605,0.1056765,0.2855866,717112,842283,860097,1106006,657336,710211,802809,1085361
2000,Virginia Beach,1119468.0,51,Virginia,VA,0.09551339999999998,0.1099123,0.3472354,0.0598484,0.076071,0.4332425999999999,0.22974789999999998,0.5609566999999999,609407,616312,648948,586159,476072,577773,648008,557533
2400,Richmond,1040192.0,51,Virginia,VA,0.255248,0.32301640000000004,0.4039737,0.2414993,0.2559097,0.0594865,0.10854369999999999,0.45224620000000004,531211,646722,675707,758431,464417,541103,633877,720999
3300,New Orleans,1381652.0,22,Louisiana,LA,0.1481222,0.1417524,0.3695889,0.02219,0.16790460000000001,0.1850226,0.33601490000000006,0.2529403,843695,645878,543718,539718,707386,602934,540498,525739
3500,Baton Rouge,806561.0,22,Louisiana,LA,0.0064399,0.2476444,0.29470419999999997,-0.12210610000000001,-0.0818424,-0.09815189999999999,0.14391120000000002,0.2186919,525346,414801,384746,385982,397188,382296,397443,377397
4200,Little Rock,630854.0,5,Arkansas,AR,-0.15413949999999998,0.05374119999999999,0.3238003,0.0908716,0.0380214,0.0826673,0.5950685,0.2160237,361087,376795,361253,305336,328341,339866,338005,287024
5202,Memphis,1154338.0,47,Tennessee,TN,0.026206,0.06630989999999999,-0.030915699999999997,0.35335900000000003,-0.0069663,0.1771637,0.39045690000000005,-0.0194807,752945,684527,553715,560059,634590,574014,519923,535730
5600,Nashville,1246338.0,47,Tennessee,TN,0.042286699999999997,0.25219250000000004,0.2915384,0.221985,0.10324030000000001,-0.0025868,0.2186228,0.28049509999999994,671004,796139,782036,743531,663426,718215,744322,720402
6700,Tampa,2395997.0,12,Florida,FL,-0.17596710000000002,0.095734,-0.0073018,-0.12645630000000002,-0.1586721,-0.20537070000000004,0.1667894,0.3496665,1602561,1539136,1259933,1112206,1589860,1367551,1167749,1087446
6800,Lakeland,598228.0,12,Florida,FL,-0.018679499999999998,-0.0004649,0.0609779,-0.23183420000000002,0.045672500000000005,-0.0672418,0.06797539999999999,-0.327652,429875,365888,288843,177534,405632,361897,271605,161792
6900,Sarasota,763795.0,12,Florida,FL,-0.07613510000000001,0.24180170000000004,0.1364818,0.1765094,-0.0890002,0.028244400000000003,-0.0068515,0.18964820000000002,492471,485705,414837,361200,478697,430456,355543,316074
7000,Miami,3955969.0,12,Florida,FL,-0.057775400000000005,0.0020552,0.16323970000000002,0.2105594,-0.0838572,-0.1673858,0.1017943,0.42822479999999996,3358466,2244837,1543933,1558377,3239108,2110443,1446384,1596432
7100,Port St. Lucie,1533306.0,12,Florida,FL,-0.0114489,0.0011807,0.16563039999999998,0.23912550000000002,-0.0029497,0.08444639999999999,0.158323,0.12220710000000001,998275,890693,756405,826247,989376,828217,694604,789771
7200,Cape Coral,692265.0,12,Florida,FL,-0.190228,-0.0096693,0.2507161,0.1466319,0.053470699999999996,0.16691789999999998,-0.07737530000000001,0.2460494,485337,451285,382216,380224,494722,425010,336711,332142
7400,Orlando,1697906.0,12,Florida,FL,-0.07333839999999998,0.008803499999999999,0.17039089999999998,0.0308778,0.1757944,0.2185894,0.08648070000000001,0.14231989999999997,1280773,1123007,921650,833695,1203980,1049788,874721,828283
7600,Jacksonville,1176696.0,12,Florida,FL,0.06702539999999998,0.27269240000000006,0.3335816,0.0682209,-0.0767056,0.0645851,0.025622000000000002,0.25950429999999997,742738,753047,723377,650269,690459,695068,704978,623658
8100,Columbia,722201.0,45,South Carolina,SC,0.0660188,0.1455174,-0.0786534,0.2187762,0.21399339999999997,0.071506,0.4766805,0.024027299999999998,494637,433376,387537,329955,406845,390546,366494,306750
8300,Greenville,894291.0,45,South Carolina,SC,0.0126531,0.1694144,0.1699845,0.2275033,0.17143250000000002,0.1411407,0.3331416,0.30296090000000003,573746,536275,487812,394813,514863,515023,474290,374622
9100,Atlanta,3798017.0,13,Georgia,GA,0.1372519,0.27674640000000006,0.2693219,0.09667189999999999,0.13962020000000003,0.1141778,0.1903508,0.19608,2216191,2259321,2121527,2706688,2004180,1925579,1943071,2695935
10700,Birmingham,1038182.0,1,Alabama,AL,0.3726638,0.10539000000000001,0.21025660000000002,-0.1890177,0.201794,0.0930449,0.20012120000000003,-0.1026048,608027,578772,528517,540673,507562,515686,506387,518080
10900,Pensacola,623252.0,12,Florida,FL,-0.1462523,-0.047437599999999996,0.31334870000000004,0.27252070000000006,-0.16030020000000003,-0.10891980000000001,0.35645370000000004,0.24039580000000002,399595,360665,348497,273751,359206,353907,347123,257230
11001,Mobile,599405.0,1,Alabama,AL,0.3072448,0.0249579,0.0079194,0.41288640000000004,0.009301100000000001,-0.036187199999999996,0.0777995,0.16598729999999998,444309,320466,286607,225000,349004,325900,289976,213248
11302,Baltimore,2512431.0,24,Maryland,MD,0.050175199999999996,0.16985029999999998,0.06214310000000001,0.20690770000000003,0.12151789999999998,0.1217253,0.05836860000000001,0.2803495,1076217,1339777,1429488,1958176,993416,1108352,1306057,1881952
11304,Washington DC,4632415.0,11,District of Columbia,DC,0.11852439999999999,0.130942,0.17760689999999998,0.24831220000000004,0.1727829,0.26042339999999997,0.034075,0.18297979999999997,1761982,2219434,2673960,4979161,1752367,1960969,2313178,4831982
11600,Detroit,5327827.0,26,Michigan,MI,0.0525077,0.21685839999999998,0.2698627,0.37000079999999996,0.119939,0.22239270000000003,0.29854509999999995,0.26991420000000005,2497223,2616468,2950031,3366514,2151639,2258984,2937117,3338106
12200,Grand Rapids,1286045.0,26,Michigan,MI,0.1216543,0.478782,0.48001289999999996,0.09819810000000001,0.1183244,0.18064249999999998,0.26542150000000003,0.4427004,561222,717866,859818,614342,524466,733615,847259,586599
12501,Dayton,1179009.0,39,Ohio,OH,0.0689043,0.0705515,0.1157298,0.3533387,0.0799068,0.0902715,-0.115281,0.2105188,582226,731162,710292,496856,531547,703116,693250,466087
12701,Cincinnati,1954800.0,39,Ohio,OH,0.2144198,0.2266837,0.315577,0.35005240000000004,0.2719966,0.1989155,0.13378110000000001,0.3248741,887372,1134697,1190334,1151630,841265,1049067,1156705,1120071
13101,Louisville,1100767.0,21,Kentucky,KY,0.1186139,0.017606599999999997,0.33891950000000004,0.28448270000000003,0.2570515,0.1561588,0.2683992,0.2884472,594123,679209,688637,603152,567949,631797,658396,576453
13501,Toledo,834343.0,39,Ohio,OH,0.1546629,0.2316026,0.26207070000000005,0.4463406,0.0327158,0.1183256,0.32559629999999995,0.17999690000000002,389280,480862,519752,403537,338824,463205,536163,388175
